Country,Happiness Score,GDP per capita,Family,Health,Freedom,Generosity,Trust,Happiness Target,GDP Target,Year
Mauritius,5.888,1.12,1.402,0.798,0.498,0.215,0.06,Top-Mid,Top-Mid,2019
Japan,5.886,1.327,1.419,1.088,0.445,0.069,0.14,Top-Mid,Top,2019
Honduras,5.86,0.642,1.236,0.828,0.507,0.246,0.078,Top-Mid,Low-Mid,2019
Kazakhstan,5.809,1.173,1.508,0.729,0.41,0.146,0.096,Top-Mid,Top-Mid,2019
Bolivia,5.779,0.776,1.209,0.706,0.511,0.137,0.064,Top-Mid,Low-Mid,2019
Hungary,5.758,1.201,1.41,0.828,0.199,0.081,0.02,Top-Mid,Top-Mid,2019
Paraguay,5.743,0.855,1.475,0.777,0.514,0.184,0.08,Top-Mid,Low-Mid,2019
Northern Cyprus,5.718,1.263,1.252,1.042,0.417,0.191,0.162,Top-Mid,Top,2019
Peru,5.697,0.96,1.274,0.854,0.455,0.083,0.027,Top-Mid,Low-Mid,2019
Portugal,5.693,1.221,1.431,0.999,0.508,0.047,0.025,Top-Mid,Top-Mid,2019
Pakistan,5.653,0.677,0.886,0.535,0.313,0.22,0.098,Top-Mid,Low-Mid,2019
Russia,5.648,1.183,1.452,0.726,0.334,0.082,0.031,Top-Mid,Top-Mid,2019
Philippines,5.631,0.807,1.293,0.657,0.558,0.117,0.107,Top-Mid,Low-Mid,2019
Serbia,5.603,1.004,1.383,0.854,0.282,0.137,0.039,Top-Mid,Top-Mid,2019
Moldova,5.529,0.685,1.328,0.739,0.245,0.181,0.0,Top-Mid,Low-Mid,2019
Libya,5.525,1.044,1.303,0.673,0.416,0.133,0.152,Top-Mid,Top-Mid,2019
Montenegro,5.523,1.051,1.361,0.871,0.197,0.142,0.08,Top-Mid,Top-Mid,2019
Tajikistan,5.467,0.493,1.098,0.718,0.389,0.23,0.144,Top-Mid,Low,2019
Croatia,5.432,1.155,1.266,0.914,0.296,0.119,0.022,Top-Mid,Top-Mid,2019
Hong Kong,5.43,1.438,1.277,1.122,0.44,0.258,0.287,Top-Mid,Top,2019
Dominican Republic,5.425,1.015,1.401,0.779,0.497,0.113,0.101,Top-Mid,Top-Mid,2019
Bosnia and Herzegovina,5.386,0.945,1.212,0.845,0.212,0.263,0.006,Top-Mid,Low-Mid,2019
Turkey,5.373,1.183,1.36,0.808,0.195,0.083,0.106,Low-Mid,Top-Mid,2019
Malaysia,5.339,1.221,1.171,0.828,0.508,0.26,0.024,Low-Mid,Top-Mid,2019
Belarus,5.323,1.067,1.465,0.789,0.235,0.094,0.142,Low-Mid,Top-Mid,2019
Greece,5.287,1.181,1.156,0.999,0.067,0.0,0.034,Low-Mid,Top-Mid,2019
Mongolia,5.285,0.948,1.531,0.667,0.317,0.235,0.038,Low-Mid,Low-Mid,2019
North Macedonia,5.274,0.983,1.294,0.838,0.345,0.185,0.034,Low-Mid,Top-Mid,2019
Nigeria,5.265,0.696,1.111,0.245,0.426,0.215,0.041,Low-Mid,Low-Mid,2019
Kyrgyzstan,5.261,0.551,1.438,0.723,0.508,0.3,0.023,Low-Mid,Low,2019
Turkmenistan,5.247,1.052,1.538,0.657,0.394,0.244,0.028,Low-Mid,Top-Mid,2019
Algeria,5.211,1.002,1.16,0.785,0.086,0.073,0.114,Low-Mid,Top-Mid,2019
Morocco,5.208,0.801,0.782,0.782,0.418,0.036,0.076,Low-Mid,Low-Mid,2019
Azerbaijan,5.208,1.043,1.147,0.769,0.351,0.035,0.182,Low-Mid,Top-Mid,2019
Lebanon,5.197,0.987,1.224,0.815,0.216,0.166,0.027,Low-Mid,Top-Mid,2019
Indonesia,5.192,0.931,1.203,0.66,0.491,0.498,0.028,Low-Mid,Low-Mid,2019
China,5.191,1.029,1.125,0.893,0.521,0.058,0.1,Low-Mid,Top-Mid,2019
Vietnam,5.175,0.741,1.346,0.851,0.543,0.147,0.073,Low-Mid,Low-Mid,2019
Bhutan,5.082,0.813,1.321,0.604,0.457,0.37,0.167,Low-Mid,Low-Mid,2019
Cameroon,5.044,0.549,0.91,0.331,0.381,0.187,0.037,Low-Mid,Low,2019
Bulgaria,5.011,1.092,1.513,0.815,0.311,0.081,0.004,Low-Mid,Top-Mid,2019
Ghana,4.996,0.611,0.868,0.486,0.381,0.245,0.04,Low-Mid,Low-Mid,2019
Ivory Coast,4.944,0.569,0.808,0.232,0.352,0.154,0.09,Low-Mid,Low,2019
Nepal,4.913,0.446,1.226,0.677,0.439,0.285,0.089,Low-Mid,Low,2019
Jordan,4.906,0.837,1.225,0.815,0.383,0.11,0.13,Low-Mid,Low-Mid,2019
Benin,4.883,0.393,0.437,0.397,0.349,0.175,0.082,Low-Mid,Low,2019
Congo (Brazzaville),4.812,0.673,0.799,0.508,0.372,0.105,0.093,Low-Mid,Low-Mid,2019
Gabon,4.799,1.057,1.183,0.571,0.295,0.043,0.055,Low-Mid,Top-Mid,2019
Laos,4.796,0.764,1.03,0.551,0.547,0.266,0.164,Low-Mid,Low-Mid,2019
South Africa,4.722,0.96,1.351,0.469,0.389,0.13,0.055,Low-Mid,Low-Mid,2019
Albania,4.719,0.947,0.848,0.874,0.383,0.178,0.027,Low-Mid,Low-Mid,2019
Venezuela,4.707,0.96,1.427,0.805,0.154,0.064,0.047,Low-Mid,Low-Mid,2019
Cambodia,4.7,0.574,1.122,0.637,0.609,0.232,0.062,Low-Mid,Low,2019
Palestinian Territories,4.696,0.657,1.247,0.672,0.225,0.103,0.066,Low-Mid,Low-Mid,2019
Senegal,4.681,0.45,1.134,0.571,0.292,0.153,0.072,Low-Mid,Low,2019
Somalia,4.668,0.0,0.698,0.268,0.559,0.243,0.27,Low-Mid,Low,2019
Namibia,4.639,0.879,1.313,0.477,0.401,0.07,0.056,Low-Mid,Low-Mid,2019
Niger,4.628,0.138,0.774,0.366,0.318,0.188,0.102,Low-Mid,Low,2019
Burkina Faso,4.587,0.331,1.056,0.38,0.255,0.177,0.113,Low-Mid,Low,2019
Armenia,4.559,0.85,1.055,0.815,0.283,0.095,0.064,Low-Mid,Low-Mid,2019
Iran,4.548,1.1,0.842,0.785,0.305,0.27,0.125,Low-Mid,Top-Mid,2019
Guinea,4.534,0.38,0.829,0.375,0.332,0.207,0.086,Low,Low,2019
Georgia,4.519,0.886,0.666,0.752,0.346,0.043,0.164,Low,Low-Mid,2019
Gambia,4.516,0.308,0.939,0.428,0.382,0.269,0.167,Low,Low,2019
Kenya,4.509,0.512,0.983,0.581,0.431,0.372,0.053,Low,Low,2019
Mauritania,4.49,0.57,1.167,0.489,0.066,0.106,0.088,Low,Low,2019
Mozambique,4.466,0.204,0.986,0.39,0.494,0.197,0.138,Low,Low,2019
Tunisia,4.461,0.921,1.0,0.815,0.167,0.059,0.055,Low,Low-Mid,2019
Bangladesh,4.456,0.562,0.928,0.723,0.527,0.166,0.143,Low,Low,2019
Iraq,4.437,1.043,0.98,0.574,0.241,0.148,0.089,Low,Top-Mid,2019
Congo (Kinshasa),4.418,0.094,1.125,0.357,0.269,0.212,0.053,Low,Low,2019
Mali,4.39,0.385,1.105,0.308,0.327,0.153,0.052,Low,Low,2019
Sierra Leone,4.374,0.268,0.841,0.242,0.309,0.252,0.045,Low,Low,2019
Sri Lanka,4.366,0.949,1.265,0.831,0.47,0.244,0.047,Low,Low-Mid,2019
Myanmar,4.36,0.71,1.181,0.555,0.525,0.566,0.172,Low,Low-Mid,2019
Chad,4.35,0.35,0.766,0.192,0.174,0.198,0.078,Low,Low,2019
Ukraine,4.332,0.82,1.39,0.739,0.178,0.187,0.01,Low,Low-Mid,2019
Ethiopia,4.286,0.336,1.033,0.532,0.344,0.209,0.1,Low,Low,2019
Swaziland,4.212,0.811,1.149,0.0,0.313,0.074,0.135,Low,Low-Mid,2019
Uganda,4.189,0.332,1.069,0.443,0.356,0.252,0.06,Low,Low,2019
Egypt,4.166,0.913,1.039,0.644,0.241,0.076,0.067,Low,Low-Mid,2019
Zambia,4.107,0.578,1.058,0.426,0.431,0.247,0.087,Low,Low,2019
Togo,4.085,0.275,0.572,0.41,0.293,0.177,0.085,Low,Low,2019
India,4.015,0.755,0.765,0.588,0.498,0.2,0.085,Low,Low-Mid,2019
Liberia,3.975,0.073,0.922,0.443,0.37,0.233,0.033,Low,Low,2019
Comoros,3.973,0.274,0.757,0.505,0.142,0.275,0.078,Low,Low,2019
Madagascar,3.933,0.274,0.916,0.555,0.148,0.169,0.041,Low,Low,2019
Lesotho,3.802,0.489,1.169,0.168,0.359,0.107,0.093,Low,Low,2019
Burundi,3.775,0.046,0.447,0.38,0.22,0.176,0.18,Low,Low,2019
Zimbabwe,3.663,0.366,1.114,0.433,0.361,0.151,0.089,Low,Low,2019
Haiti,3.597,0.323,0.688,0.449,0.026,0.419,0.11,Low,Low,2019
Botswana,3.488,1.041,1.145,0.538,0.455,0.025,0.1,Low,Top-Mid,2019
Syria,3.462,0.619,0.378,0.44,0.013,0.331,0.141,Low,Low-Mid,2019
Malawi,3.41,0.191,0.56,0.495,0.443,0.218,0.089,Low,Low,2019
Yemen,3.38,0.287,1.163,0.463,0.143,0.108,0.077,Low,Low,2019
Rwanda,3.334,0.359,0.711,0.614,0.555,0.217,0.411,Low,Low,2019
Tanzania,3.231,0.476,0.885,0.499,0.417,0.276,0.147,Low,Low,2019
Afghanistan,3.203,0.35,0.517,0.361,0.0,0.158,0.025,Low,Low,2019
Central African Republic,3.083,0.026,0.0,0.105,0.225,0.235,0.035,Low,Low,2019
South Sudan,2.853,0.306,0.575,0.295,0.01,0.202,0.091,Low,Low,2019
Finland,7.808700085,10.63926697,0.954329729,71.9008255,0.949172199,-0.059482019,0.195444584,Top,Top,2020
Denmark,7.645599842,10.77400112,0.955990791,72.40250397,0.951444268,0.066201776,0.168489456,Top,Top,2020
Switzerland,7.559899807,10.97993279,0.942846596,74.10244751,0.921336651,0.105911039,0.303728431,Top,Top,2020
Iceland,7.504499912,10.77255917,0.974669576,73.0,0.948891878,0.246944219,0.711709738,Top,Top,2020
Norway,7.487999916,11.08780384,0.952486575,73.20078278,0.955750287,0.13453263,0.263218194,Top,Top,2020
Netherlands,7.448900223,10.81271172,0.93913883,72.30091858,0.908547819,0.20761244,0.364717126,Top,Top,2020
Sweden,7.353499889,10.75879383,0.926311195,72.60076904,0.939144194,0.111614622,0.250880182,Top,Top,2020
New Zealand,7.299600124,10.50094318,0.949118972,73.20262909,0.936217487,0.191598073,0.22113885,Top,Top,2020
Austria,7.294199944,10.7428236,0.928045869,73.00250244,0.899989486,0.085429221,0.499954879,Top,Top,2020
Luxembourg,7.237500191,11.45068073,0.906912208,72.59999847,0.90563643,-0.004620588,0.367084295,Top,Top,2020
Canada,7.23210001,10.69236851,0.927176654,73.60160065,0.933913231,0.124770768,0.390843362,Top,Top,2020
Australia,7.222799778,10.72059631,0.944854617,73.60453796,0.915431738,0.19046016,0.41516912,Top,Top,2020
United Kingdom,7.164500237,10.60013485,0.93668282,72.30160522,0.834743679,0.263732493,0.435915917,Top,Top,2020
Israel,7.128600121,10.41752529,0.913571239,73.20025635,0.747580588,0.10259372,0.78085506,Top,Top,2020
Costa Rica,7.121399879,9.658156395,0.901545942,71.29985046,0.934738934,-0.10242971,0.786332428,Top,Top-Mid,2020
Ireland,7.093699932,11.16097832,0.942081571,72.30078888,0.886982977,0.145784974,0.357184172,Top,Top,2020
Germany,7.075799942,10.7328186,0.898874462,72.20201874,0.867371082,0.080179386,0.456422031,Top,Top,2020
United States,6.939599991,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,Top,Top,2020
Czech Republic,6.910900116,10.40416336,0.914430678,70.04793549,0.818537354,-0.230861515,0.85844624,Top,Top,2020
Belgium,6.863500118,10.6736393,0.911632538,72.00164795,0.813582063,-0.078691199,0.612297952,Top,Top,2020
United Arab Emirates,6.790800095,11.1099987,0.849181116,67.08278656,0.941345513,0.123450845,0.594502211,Top,Top,2020
Malta,6.772799969,10.53383827,0.93037951,72.19999695,0.924911439,0.214965805,0.658547282,Top,Top,2020
France,6.663799763,10.58422279,0.937103748,73.80193329,0.825467646,-0.130641967,0.583521128,Top,Top,2020
Mexico,6.465000153,9.797797203,0.838665426,68.29902649,0.858709276,-0.175266623,0.806821585,Top,Top-Mid,2020
Taiwan Province of China,6.45539999,10.77568531,0.894309103,69.59999847,0.77153033,-0.073198698,0.73188293,Top,Top,2020
Uruguay,6.440100193,9.948192596,0.92281127,69.00254822,0.892395437,-0.101103112,0.635994136,Top,Top-Mid,2020
Saudi Arabia,6.406499863,10.79781246,0.874067068,66.30514526,0.854191244,-0.168695062,0.682619512,Top,Top,2020
Spain,6.400899887,10.46292686,0.921125412,74.40270996,0.751989543,-0.050961714,0.765859902,Top,Top,2020
Guatemala,6.398900032,8.924805641,0.816621482,64.8089447,0.908147573,-0.042938665,0.783237457,Top,Low-Mid,2020
Italy,6.38740015,10.48183632,0.889878571,73.60168457,0.66465199,-0.043460999,0.873404682,Top,Top,2020
Singapore,6.377099991,11.39552116,0.910268962,76.80458069,0.926645339,0.029879224,0.109784193,Top,Top,2020
Brazil,6.375599861,9.56643486,0.896723807,66.48016357,0.799804807,-0.101812392,0.770601273,Top,Top-Mid,2020
Slovenia,6.363399982,10.39232254,0.939575672,71.1029892,0.936142623,-0.080603383,0.817071021,Top,Top,2020
El Salvador,6.34829998,8.909075737,0.806092262,66.10826111,0.833805263,-0.121072978,0.754319906,Top,Low-Mid,2020
Kosovo,6.325200081,9.204429626,0.820726514,63.88555527,0.861535907,0.190933764,0.922328293,Top,Low-Mid,2020
Panama,6.304800034,10.03423405,0.902094483,69.60301208,0.880366504,-0.153927714,0.851588905,Top,Top-Mid,2020
Slovakia,6.280600071,10.34774971,0.922493756,68.90634155,0.749952674,-0.124409303,0.918096125,Top,Top,2020
Uzbekistan,6.257599831,8.740371704,0.926595807,65.10757446,0.974998116,0.248427153,0.501497388,Top,Low-Mid,2020
Chile,6.228499889,10.0320549,0.879713595,69.90061951,0.744896293,-0.065668367,0.838239431,Top-Mid,Top-Mid,2020
Bahrain,6.227300167,10.67638016,0.876342118,68.5,0.905855775,0.13372919,0.7393471,Top-Mid,Top,2020
Lithuania,6.215499878,10.34362602,0.926107109,67.29407501,0.747381449,-0.219725296,0.809583843,Top-Mid,Top,2020
Trinidad and Tobago,6.191899776,10.26000214,0.91529417,63.5,0.857907116,0.000526841,0.912230611,Top-Mid,Top-Mid,2020
Poland,6.186299801,10.26512432,0.874257445,69.31113434,0.862055779,-0.205084071,0.686927021,Top-Mid,Top-Mid,2020
Colombia,6.163400173,9.500369072,0.884440243,67.69958496,0.836179912,-0.161235645,0.86457181,Top-Mid,Top-Mid,2020
Cyprus,6.15899992,10.40570259,0.805996239,73.70222473,0.779858291,0.043731496,0.856271744,Top-Mid,Top,2020
Nicaragua,6.13710022,8.493160248,0.857497036,67.50717926,0.863902867,0.020959141,0.665950119,Top-Mid,Low-Mid,2020
Romania,6.123700142,10.107584,0.825161517,67.20723724,0.842823207,-0.19781521,0.934300244,Top-Mid,Top-Mid,2020
Kuwait,6.102099895,11.08982468,0.846475244,66.76764679,0.872366488,-0.100184701,0.760849059,Top-Mid,Top,2020
Mauritius,6.101299763,9.956786156,0.910357833,66.40434265,0.889534533,-0.018318573,0.805343091,Top-Mid,Top-Mid,2020
Kazakhstan,6.057899952,10.11465836,0.934744895,64.60996246,0.811601937,-0.068488635,0.764490843,Top-Mid,Top-Mid,2020
Estonia,6.021800041,10.34001732,0.934729993,68.60495758,0.87770915,-0.111697771,0.623073816,Top-Mid,Top,2020
Philippines,6.006000042,8.993545532,0.846730053,61.92676163,0.915463448,-0.105463006,0.733634114,Top-Mid,Low-Mid,2020
Hungary,6.000400066,10.24924374,0.921934128,67.60997009,0.718964577,-0.194323018,0.892916501,Top-Mid,Top-Mid,2020
Thailand,5.998799801,9.741791725,0.889973223,67.25059509,0.905063033,0.268685192,0.886272311,Top-Mid,Top-Mid,2020
Argentina,5.974699974,9.810955048,0.900567949,68.80380249,0.831132412,-0.194913864,0.842009842,Top-Mid,Top-Mid,2020
Honduras,5.953199863,8.424534798,0.821870148,67.19876862,0.870603263,0.086969115,0.801131904,Top-Mid,Low-Mid,2020
Latvia,5.949999809,10.17531967,0.918288589,66.8074646,0.671237648,-0.186888844,0.795580089,Top-Mid,Top-Mid,2020
Ecuador,5.925199986,9.246058464,0.836418986,68.50003815,0.859828949,-0.127014965,0.801215112,Top-Mid,Low-Mid,2020
Portugal,5.910900116,10.26374245,0.886590719,72.40202332,0.888747811,-0.220714301,0.892629504,Top-Mid,Top-Mid,2020
Jamaica,5.889800072,9.006250381,0.915701866,67.09999847,0.858068526,-0.125106767,0.888890028,Top-Mid,Low-Mid,2020
South Korea,5.872399807,10.51056671,0.799387157,73.6027298,0.612965107,-0.043404032,0.789067447,Top-Mid,Top,2020
Japan,5.870800018,10.57968903,0.883545935,75.00096893,0.809961379,-0.246910349,0.654558063,Top-Mid,Top,2020
Peru,5.796800137,9.456313133,0.831075251,68.10023499,0.824766099,-0.16238822,0.893714964,Top-Mid,Low-Mid,2020
Serbia,5.77820015,9.680980682,0.881475747,68.21020508,0.726495862,-0.073676221,0.843509018,Top-Mid,Top-Mid,2020
Bolivia,5.747499943,8.851115227,0.803108692,63.6004715,0.875873327,-0.09168113,0.822606206,Top-Mid,Low-Mid,2020
Pakistan,5.69329977,8.482727051,0.689062297,58.25313568,0.734833717,0.04489987,0.745705426,Top-Mid,Low-Mid,2020
Paraguay,5.692100048,9.389982224,0.898727894,65.63993835,0.885923445,0.007997713,0.834788501,Top-Mid,Low-Mid,2020
Dominican Republic,5.689199924,9.664880753,0.882085383,65.80748749,0.866202772,-0.131263286,0.755999923,Top-Mid,Top-Mid,2020
Bosnia and Herzegovina,5.674099922,9.455817223,0.829204142,67.80813599,0.651352704,0.098274559,0.933769107,Top-Mid,Low-Mid,2020
Moldova,5.607500076,8.776714325,0.843313575,65.01301575,0.721609175,-0.037741039,0.913314283,Top-Mid,Low-Mid,2020
Tajikistan,5.555699825,8.024810791,0.835297108,64.10459137,0.831383407,-0.025088511,0.592076063,Top-Mid,Low,2020
Montenegro,5.54610014,9.751860619,0.855314612,68.50534821,0.649565637,-0.075600356,0.783121586,Top-Mid,Top-Mid,2020
Russia,5.546000004,10.12887192,0.903150737,64.10045624,0.729892612,-0.151153743,0.864802599,Top-Mid,Top-Mid,2020
Kyrgyzstan,5.541500092,8.148405075,0.887228489,64.10601044,0.909374893,0.154772058,0.888396084,Top-Mid,Low,2020
Belarus,5.539899826,9.779945374,0.90674746,66.10433197,0.639163077,-0.164926544,0.63571167,Top-Mid,Top-Mid,2020
North Cyprus,5.53550005,10.40570259,0.820356607,73.70222473,0.79529351,0.000227159,0.62611568,Top-Mid,Top,2020
Greece,5.514999866,10.13232613,0.814380348,72.40525818,0.541345119,-0.300907373,0.859931409,Low-Mid,Top-Mid,2020
Hong Kong S.A.R. of China,5.510399818,10.9346714,0.845969081,76.77170563,0.779833794,0.134979904,0.420607209,Low-Mid,Top,2020
Croatia,5.504700184,10.07087517,0.874623716,70.21490479,0.714838803,-0.128538325,0.916495264,Low-Mid,Top-Mid,2020
Libya,5.488800049,9.789815903,0.825942934,62.29999924,0.773157001,-0.085054487,0.668779135,Low-Mid,Top-Mid,2020
Mongolia,5.456200123,9.412186623,0.937142491,62.30448532,0.693351328,0.098093867,0.863511205,Low-Mid,Low-Mid,2020
Malaysia,5.384300232,10.26251888,0.816509426,67.10215759,0.894626856,0.114726797,0.839302301,Low-Mid,Top-Mid,2020
Vietnam,5.353499889,8.809545517,0.849987149,67.9527359,0.939592957,-0.094533332,0.79642123,Low-Mid,Low-Mid,2020
Indonesia,5.285600185,9.36975193,0.808379889,62.15584946,0.870614409,0.519586504,0.876296401,Low-Mid,Low-Mid,2020
Ivory Coast,5.233300209,8.225561142,0.658048689,49.50377274,0.727909327,-0.043991156,0.790771961,Low-Mid,Low,2020
Benin,5.21600008,7.674319744,0.468671143,54.31246567,0.735182583,-0.003537213,0.740532577,Low-Mid,Low,2020
Maldives,5.197599888,9.518632889,0.91316092,70.59999847,0.853962779,0.038085498,0.824211061,Low-Mid,Top-Mid,2020
Congo (Brazzaville),5.194399834,8.536987305,0.640228093,57.92448044,0.719058514,-0.123674095,0.751779079,Low-Mid,Low-Mid,2020
Azerbaijan,5.164800167,9.687726974,0.819308281,65.50839996,0.786824107,-0.240255281,0.55253756,Low-Mid,Top-Mid,2020
Macedonia,5.159800053,9.510591507,0.820392311,67.50442505,0.738840938,-0.019877451,0.897490501,Low-Mid,Top-Mid,2020
Ghana,5.147999763,8.350645065,0.728601098,57.20398712,0.794796526,0.094170853,0.847964764,Low-Mid,Low,2020
Nepal,5.137199879,7.925357342,0.785512447,63.77917862,0.797565043,0.154168829,0.738099158,Low-Mid,Low,2020
Turkey,5.131800175,10.12941933,0.826313555,66.90281677,0.608830452,-0.171046436,0.748197377,Low-Mid,Top-Mid,2020
China,5.123899937,9.688568115,0.798760593,69.2891922,0.898517907,-0.18142575,0.7539711,Low-Mid,Top-Mid,2020
Turkmenistan,5.119100094,9.74803257,0.958966196,62.21170807,0.826457024,0.187671542,0.883691847,Low-Mid,Top-Mid,2020
Bulgaria,5.101500034,9.869318962,0.937840343,66.80397797,0.745178163,-0.143908441,0.935585141,Low-Mid,Top-Mid,2020
Morocco,5.094799995,8.940313339,0.592628479,65.89624023,0.772072434,-0.240377247,0.815724611,Low-Mid,Low-Mid,2020
Cameroon,5.084899902,8.118647575,0.700386405,52.7049408,0.763051808,-0.00149645,0.851336598,Low-Mid,Low,2020
Venezuela,5.053199768,8.977793694,0.890408158,66.50534058,0.62327832,-0.169090509,0.837038398,Low-Mid,Low-Mid,2020
Algeria,5.005099773,9.537964821,0.803385139,65.90517426,0.466610909,-0.121105164,0.735485137,Low-Mid,Top-Mid,2020
Senegal,4.980800152,8.118982315,0.723616004,59.59915161,0.690596163,-0.052335154,0.808785141,Low-Mid,Low,2020
Guinea,4.949299812,7.750990391,0.637573481,54.46780014,0.706846774,0.076328471,0.761794448,Low-Mid,Low,2020
Niger,4.909599781,6.842166901,0.617435038,53.50009537,0.759772122,0.013860817,0.722530186,Low-Mid,Low,2020
Laos,4.888599873,8.79858017,0.737502217,58.70992279,0.907213569,0.11137148,0.634679317,Low-Mid,Low-Mid,2020
Albania,4.882699966,9.417930603,0.671070457,68.70813751,0.781994224,-0.042309489,0.896303713,Low-Mid,Low-Mid,2020
Cambodia,4.848400116,8.249890327,0.773080647,61.52996826,0.959704638,0.051911179,0.822769046,Low-Mid,Low,2020
